what,kind,bundleId,bundleVersion,description,time
started,bundle,com.aptana.editor.php.epl,3.0.0.1342037941,"com.aptana.editor.php.epl",1358606921624
started,bundle,com.aptana.filewatcher,3.0.1.1337406272,"com.aptana.filewatcher",1358606921624
started,bundle,com.aptana.git.core,3.0.0.1345235597,"com.aptana.git.core",1358606921670
started,bundle,com.aptana.git.ui,3.0.3.1344346330,"com.aptana.git.ui",1358606921670
started,bundle,com.aptana.portal.ui,3.0.0.1344983893,"com.aptana.portal.ui",1358606921670
started,bundle,com.aptana.preview,3.0.0.1337406272,"com.aptana.preview",1358606921670
started,bundle,com.aptana.scripting,3.0.0.1345071090,"com.aptana.scripting",1358606921702
started,bundle,com.aptana.scripting.ui,3.0.0.1337868086,"com.aptana.scripting.ui",1358606921702
started,bundle,com.aptana.syncing.core,3.0.0.1339455718,"com.aptana.syncing.core",1358606921702
started,bundle,com.aptana.syncing.ui,3.0.3.1339455718,"com.aptana.syncing.ui",1358606921717
started,bundle,com.aptana.theme,3.0.0.1339679951,"com.aptana.theme",1358606921717
started,bundle,com.aptana.ui,3.1.4.1343174370,"com.aptana.ui",1358606921717
started,bundle,com.aptana.usage,3.0.0.1345235597,"com.aptana.usage",1358606921717
started,bundle,org.python.pydev.red_core,2.7.0.2012080220,"org.python.pydev.red_core",1358606921780
os,sysinfo,,,"win32",1358606921780
arch,sysinfo,,,"x86",1358606921780
ws,sysinfo,,,"win32",1358606921780
locale,sysinfo,,,"sv_SE",1358606921780
processors,sysinfo,,,"2",1358606921780
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1358606921780
java.runtime.version,sysinfo,,,"1.7.0_11-b21",1358606921780
java.specification.name,sysinfo,,,"Java Platform API Specification",1358606921780
java.specification.vendor,sysinfo,,,"Oracle Corporation",1358606921780
java.specification.version,sysinfo,,,"1.7",1358606921780
java.vendor,sysinfo,,,"Oracle Corporation",1358606921780
java.version,sysinfo,,,"1.7.0_11",1358606921780
java.vm.info,sysinfo,,,"mixed mode",1358606921780
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1358606921780
